Last Name,First Name,Category,Project,Year,Show,Award
BURNS,GEORGE,LIFE ACHIEVEMENT AWARD,N/A,1994,1,YES
ALEXANDER,JASON,ENSEMBLE IN A COMEDY SERIES,SEINFELD,1995,1,YES
BERGEN,CANDICE,ENSEMBLE IN A COMEDY SERIES,MURPHY BROWN,1995,1,NO
BURROWS,DARREN E.,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
CORBETT,JOHN,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
CORBIN,ANNE,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
CORLEY,PAT,ENSEMBLE IN A COMEDY SERIES,MURPHY BROWN,1995,1,NO
CULLUM,JOHN,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
FORD,FAITH,ENSEMBLE IN A COMEDY SERIES,MURPHY BROWN,1995,1,NO
GEARY,CYNTHIA,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
GILPIN,PERI,ENSEMBLE IN A COMEDY SERIES,FRASIER,1995,1,NO
GRAMMER,KELSEY,ENSEMBLE IN A COMEDY SERIES,FRASIER,1995,1,NO
HUNT,HELEN,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1995,1,NO
KENZLE,LEILA,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1995,1,NO
KIMBROUGH,CHARLES,ENSEMBLE IN A COMEDY SERIES,MURPHY BROWN,1995,1,NO
KIND,RICHARD,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1995,1,NO
KUDROW,LISA,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1995,1,NO
LEEVES,JANE,ENSEMBLE IN A COMEDY SERIES,FRASIER,1995,1,NO
LOUIS-DREYFUS,JULIA,ENSEMBLE IN A COMEDY SERIES,SEINFELD,1995,1,YES
MAHONEY,JOHN,ENSEMBLE IN A COMEDY SERIES,FRASIER,1995,1,NO
MILES,ELAINE,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
MORROW,ROB,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
PANKOW,JOHN,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1995,1,NO
PHILLIPS,PEG,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
PIERCE,DAVID HYDE,ENSEMBLE IN A COMEDY SERIES,FRASIER,1995,1,NO
POLO,TERI,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
PROVENZA,PAUL,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
RAMSAY,ANNE,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1995,1,NO
REGALBUTO,JOE,ENSEMBLE IN A COMEDY SERIES,MURPHY BROWN,1995,1,NO
REISER,PAUL,ENSEMBLE IN A COMEDY SERIES,MAD ABOUT YOU,1995,1,NO
RICHARDS,MICHAEL,ENSEMBLE IN A COMEDY SERIES,SEINFELD,1995,1,YES
SEINFELD,JERRY,ENSEMBLE IN A COMEDY SERIES,SEINFELD,1995,1,YES
SHAUD,GRANT,ENSEMBLE IN A COMEDY SERIES,MURPHY BROWN,1995,1,NO
TURNER,JANINE,ENSEMBLE IN A COMEDY SERIES,NORTHERN EXPOSURE,1995,1,NO
ARKIN,ADAM,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1995,1,NO
BAKER,KATHY,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
CHEADLE,DON,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
CLAPP,GORDON,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1995,1,YES
CLOONEY,GEORGE,ENSEMBLE IN A DRAMA SERIES,ER,1995,1,NO
COMBS,HOLLY MARIE,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
CONNELL,KELLY,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
CORNTHWAITE,ROBERT,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
EDWARDS,ANTHONY,ENSEMBLE IN A DRAMA SERIES,ER,1995,1,NO
ELIZONDO,HECTOR,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1995,1,NO
FINKEL,FYVUSH,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
FRANZ,DENNIS,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1995,1,YES
GIBSON,THOMAS,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1995,1,NO
HART,ROXANNE,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1995,1,NO
HENNESSEY,JILL,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1995,1,NO
HILL,STEVEN,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1995,1,NO
HOLLY,LAUREN,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
LaSALLE,ERIQ,ENSEMBLE IN A DRAMA SERIES,ER,1995,1,NO
LAWRENCE,SHARON,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1995,1,YES
MACNICOL,PETER,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1995,1,NO
MANDYLOR,COSTAS,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
MARGULIES,JULIANNA,ENSEMBLE IN A DRAMA SERIES,ER,1995,1,NO
MARSHALL,E.G.,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1995,1,NO
MCDANIEL,JAMES,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1995,1,YES
MERKERSON,S. EPATHA,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1995,1,NO
NOTH,CHRIS,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1995,1,NO
O'GRADY,GAIL,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1995,1,YES
ORBACH,JERRY,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1995,1,NO
PATINKIN,MANDY,ENSEMBLE IN A DRAMA SERIES,CHICAGO HOPE,1995,1,NO
SHENKAROW,JUSTIN,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
SKERRITT,TOM,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
SMITS,JIMMY,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1995,1,YES
STRINGFIELD,SHERRY,ENSEMBLE IN A DRAMA SERIES,ER,1995,1,NO
TAYLOR-YOUNG,LEIGH,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
TURTURRO,NICHOLAS,ENSEMBLE IN A DRAMA SERIES,NYPD BLUE,1995,1,YES
WALSTON,RAY,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
WATERSTON,SAM,ENSEMBLE IN A DRAMA SERIES,LAW & ORDER,1995,1,NO
WYLE,NOAH,ENSEMBLE IN A DRAMA SERIES,ER,1995,1,NO
WYLIE,ADAM,ENSEMBLE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
BARR,ROSEANNE,FEMALE IN A COMEDY SERIES,ROSEANNE,1995,1,NO
BERGEN,CANDICE,FEMALE IN A COMEDY SERIES,MURPHY BROWN,1995,1,NO
DEGENERES,ELLEN,FEMALE IN A COMEDY SERIES,ELLEN,1995,1,NO
HUNT,HELEN,FEMALE IN A COMEDY SERIES,MAD ABOUT YOU,1995,1,YES
LOUIS-DREYFUS,JULIA,FEMALE IN A COMEDY SERIES,SEINFELD,1995,1,NO
BAKER,KATHY,FEMALE IN A DRAMA SERIES,PICKET FENCES,1995,1,YES
KURTZ,SWOOSIE,FEMALE IN A DRAMA SERIES,SISTERS,1995,1,NO
LANSBURY,ANGELA,FEMALE IN A DRAMA SERIES,"MURDER, SHE WROTE",1995,1,NO
SEYMOUR,JANE,FEMALE IN A DRAMA SERIES,DR. QUINN MEDICINE WOMAN,1995,1,NO
TYSON,CICELY,FEMALE IN A DRAMA SERIES,SWEET JUSTICE,1995,1,NO
FOSTER,JODIE,FEMALE LEAD IN A MOTION PICTURE,NELL,1995,1,YES
LANGE,JESSICA,FEMALE LEAD IN A MOTION PICTURE,BLUE SKY,1995,1,NO
RYAN,MEG,FEMALE LEAD IN A MOTION PICTURE,WHEN A MAN LOVES A WOMAN,1995,1,NO
SARANDON,SUSAN,FEMALE LEAD IN A MOTION PICTURE,THE CLIENT,1995,1,NO
STREEP,MERYL,FEMALE LEAD IN A MOTION PICTURE,THE RIVER WILD,1995,1,NO
CURTIS,JAMIE LEE,FEMALE SUPPORT IN A MOTION PICTURE,TRUE LIES,1995,1,NO
FIELD,SALLY,FEMALE SUPPORT IN A MOTION PICTURE,FORREST GUMP,1995,1,NO
THURMAN,UMA,FEMALE SUPPORT IN A MOTION PICTURE,PULP FICTION,1995,1,NO
WIEST,DIANNE,FEMALE SUPPORT IN A MOTION PICTURE,BULLETS OVER BROADWAY,1995,1,YES
WRIGHT,ROBIN,FEMALE SUPPORT IN A MOTION PICTURE,FORREST GUMP,1995,1,NO
HEPBURN,KATHERINE,FEMALE TV MOVIE OR MINISERIES,ONE CHRISTMAS,1995,1,NO
KEATON,DIANE,FEMALE TV MOVIE OR MINISERIES,AMELIA EARHART:THE FINAL FLIGHT,1995,1,NO
SPACEK,SISSY,FEMALE TV MOVIE OR MINISERIES,A PLACE FOR ANNIE,1995,1,NO
TYSON,CICELY,FEMALE TV MOVIE OR MINISERIES,THE OLDEST LIVING CONFEDERATE ...,1995,1,NO
WOODWARD,JOANNE,FEMALE TV MOVIE OR MINISERIES,BREATHING LESSONS,1995,1,YES
ALEXANDER,JASON,MALE IN A COMEDY SERIES,SEINFELD,1995,1,YES
GOODMAN,JOHN,MALE IN A COMEDY SERIES,ROSEANNE,1995,1,NO
GRAMMER,KELSEY,MALE IN A COMEDY SERIES,FRASIER,1995,1,NO
PIERCE,DAVID HYDE,MALE IN A COMEDY SERIES,FRASIER,1995,1,NO
REISER,PAUL,MALE IN A COMEDY SERIES,MAD ABOUT YOU,1995,1,NO
ELIZONDO,HECTOR,MALE IN A DRAMA SERIES,CHICAGO HOPE,1995,1,NO
FRANZ,DENNIS,MALE IN A DRAMA SERIES,NYPD BLUE,1995,1,YES
PATINKIN,MANDY,MALE IN A DRAMA SERIES,CHICAGO HOPE,1995,1,NO
SKERRITT,TOM,MALE IN A DRAMA SERIES,PICKET FENCES,1995,1,NO
STEWART,PATRICK,MALE IN A DRAMA SERIES,STAR TREK:  THE NEXT GENERATION,1995,1,NO
FREEMAN,MORGAN,MALE LEAD IN A MOTION PICTURE,THE SHAWSHANK REDEMPTION,1995,1,NO
HANKS,TOM,MALE LEAD IN A MOTION PICTURE,FORREST GUMP,1995,1,YES
NEWMAN,PAUL,MALE LEAD IN A MOTION PICTURE,NOBODY’S FOOL,1995,1,NO
ROBBINS,TIM,MALE LEAD IN A MOTION PICTURE,THE SHAWSHANK REDEMPTION,1995,1,NO
TRAVOLTA,JOHN,MALE LEAD IN A MOTION PICTURE,PULP FICTION,1995,1,NO
